epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
111,7750.48,0.5055,0.2485,1.00527,0.87113,0.76936,0.79687,0.69491,0.59406,0.27468,1.02315,0.004555,0.004555,0.004555
112,7821.45,0.50607,0.24825,1.00712,0.89803,0.76769,0.79503,0.68668,0.62069,0.28227,1.08549,0.0045055,0.0045055,0.0045055
113,7892.38,0.51395,0.25075,1.00877,0.96943,0.76274,0.7932,0.69476,0.61385,0.27651,1.03548,0.004456,0.004456,0.004456
114,7963.26,0.5076,0.25102,1.0052,0.97626,0.76039,0.81107,0.69885,0.62922,0.28935,1.08703,0.0044065,0.0044065,0.0044065
115,8034.2,0.50309,0.24983,1.00099,0.85588,0.78961,0.81896,0.7077,0.60226,0.28912,1.04682,0.004357,0.004357,0.004357
116,8105.09,0.50058,0.24877,0.99813,0.91455,0.85055,0.84307,0.7119,0.5984,0.28372,1.04798,0.0043075,0.0043075,0.0043075
117,8176.16,0.49057,0.24032,0.99104,0.86326,0.8197,0.82213,0.71037,0.61081,0.2795,1.03736,0.004258,0.004258,0.004258
118,8246.85,0.49608,0.24595,0.99398,0.97503,0.76018,0.82528,0.71913,0.59383,0.28276,1.03769,0.0042085,0.0042085,0.0042085
119,8317.79,0.49983,0.24653,0.99389,0.97207,0.7604,0.80134,0.70625,0.59186,0.28006,1.03322,0.004159,0.004159,0.004159
120,8388.72,0.49283,0.24185,0.9886,0.97472,0.76107,0.79601,0.70169,0.5939,0.27182,1.0334,0.0041095,0.0041095,0.0041095
121,8459.41,0.48477,0.23715,0.98534,0.9726,0.76042,0.80493,0.70887,0.58773,0.27745,1.05066,0.00406,0.00406,0.00406
122,8530.33,0.49229,0.24129,0.99318,0.97111,0.78022,0.81776,0.71181,0.59161,0.2734,1.03344,0.0040105,0.0040105,0.0040105
123,8601.23,0.48815,0.2359,0.98533,0.86483,0.82157,0.83332,0.72452,0.58943,0.26966,1.04411,0.003961,0.003961,0.003961
124,8672.39,0.48764,0.23612,0.98245,0.83896,0.81156,0.83564,0.72379,0.58138,0.27391,1.03129,0.0039115,0.0039115,0.0039115
125,8743.27,0.47977,0.23226,0.97696,0.88596,0.78599,0.81627,0.71555,0.57386,0.27358,1.03471,0.003862,0.003862,0.003862
126,8814.21,0.47294,0.23396,0.97424,0.90273,0.78559,0.83023,0.72074,0.5805,0.27249,1.03203,0.0038125,0.0038125,0.0038125
127,8885.09,0.47667,0.23717,0.98741,0.92911,0.77932,0.80256,0.71186,0.56966,0.27382,1.02544,0.003763,0.003763,0.003763
128,8955.53,0.47525,0.23308,0.97837,0.87707,0.79064,0.81777,0.71494,0.57675,0.2712,1.02907,0.0037135,0.0037135,0.0037135
129,9026.25,0.47545,0.23469,0.98103,0.85369,0.79047,0.79584,0.70057,0.58944,0.2739,1.03251,0.003664,0.003664,0.003664
